ticker
AAPL
MSFT
AMZN
NVDA
GOOGL
META
BRK-B
JPM
V
UNH
XOM
PG
HD
MA
ABBV
LLY
MRK
COST
AVGO
PEP
KO
ADBE
CRM
WMT
MCD
CSCO
PFE
BAC
TMO
ACN
DHR
NFLX
ABT
CMCSA
INTC
DIS
VZ
QCOM
NKE
WFC
TXN
LIN
AMD
UPS
PM
NEE
ORCL
UNP
RTX
COP
